description,industry,level,size,line_code,value
Awareness of climate change: Very aware,total,0,6–19 employees,C0300.01,13080
Awareness of climate change: Very aware,total,0,20–49 employees,C0300.01,3348
Awareness of climate change: Very aware,total,0,50–99 employees,C0300.01,1089
Awareness of climate change: Very aware,total,0,100+ employees,C0300.01,1023
Awareness of climate change: Very aware,"Agriculture, forestry, & fishing",1,total,C0300.01,2364
Awareness of climate change: Very aware,Agriculture,2,total,C0300.01,1683
Awareness of climate change: Very aware,Commercial fishing,2,total,C0300.01,27
Awareness of climate change: Very aware,Forestry & logging,2,total,C0300.01,126
Awareness of climate change: Very aware,"Agriculture, forestry, & fishing support services",2,total,C0300.01,528
Awareness of climate change: Very aware,Mining,1,total,C0300.01,72
Awareness of climate change: Very aware,Manufacturing,1,total,C0300.01,1971
Awareness of climate change: Very aware,"Food, beverage, & tobacco",2,total,C0300.01,588
Awareness of climate change: Very aware,"Textile, clothing, footwear, & leather",2,total,C0300.01,96
Awareness of climate change: Very aware,Wood & paper product,2,total,C0300.01,156
Awareness of climate change: Very aware,"Printing, publishing, & recorded media",2,total,C0300.01,72
Awareness of climate change: Very aware,"Petroleum, coal, chemical, & associated product",2,total,C0300.01,189
Awareness of climate change: Very aware,Non-metallic mineral product,2,total,C0300.01,108
Awareness of climate change: Very aware,Metal product,2,total,C0300.01,246
Awareness of climate change: Very aware,Transport and industrial machinery & equipment,2,total,C0300.01,285
Awareness of climate change: Very aware,Other machinery & equipment,2,total,C0300.01,117
Awareness of climate change: Very aware,Other manufacturing,2,total,C0300.01,111
Awareness of climate change: Very aware,"Electricity, gas, water, & waste services",1,total,C0300.01,114
Awareness of climate change: Very aware,Construction,1,total,C0300.01,2685
Awareness of climate change: Very aware,Wholesale trade,1,total,C0300.01,1287
Awareness of climate change: Very aware,Machinery & equipment wholesaling,2,total,C0300.01,264
Awareness of climate change: Very aware,Other wholesale trade,2,total,C0300.01,1023
Awareness of climate change: Very aware,Retail trade,1,total,C0300.01,1848
Awareness of climate change: Very aware,Accommodation & food services,1,total,C0300.01,1887
Awareness of climate change: Very aware,"Transport, postal, & warehousing",1,total,C0300.01,603
Awareness of climate change: Very aware,Information media & telecommunications,1,total,C0300.01,195
Awareness of climate change: Very aware,Publishing,2,total,C0300.01,72
Awareness of climate change: Very aware,Motion picture,2,total,C0300.01,60
Awareness of climate change: Very aware,Telecommunications,2,total,C0300.01,60
Awareness of climate change: Very aware,Financial & insurance services,1,total,C0300.01,312
Awareness of climate change: Very aware,Finance,2,total,C0300.01,96
Awareness of climate change: Very aware,Insurance,2,total,C0300.01,15
Awareness of climate change: Very aware,Auxiliary,2,total,C0300.01,204
